data;evento
25/01/1982;Guerra Irã-Iraque
26/01/1982;Guerra Irã-Iraque
27/01/1982;Guerra Irã-Iraque
28/01/1982;Guerra Irã-Iraque
29/01/1982;Guerra Irã-Iraque
30/01/1982;Guerra Irã-Iraque
31/01/1982;Guerra Irã-Iraque
01/02/1982;Guerra Irã-Iraque
02/02/1982;Guerra Irã-Iraque
03/02/1982;Guerra Irã-Iraque
04/02/1982;Guerra Irã-Iraque
05/02/1982;Guerra Irã-Iraque
06/02/1982;Guerra Irã-Iraque
07/02/1982;Guerra Irã-Iraque
08/02/1982;Guerra Irã-Iraque
09/02/1982;Guerra Irã-Iraque
10/02/1982;Guerra Irã-Iraque
11/02/1982;Guerra Irã-Iraque
12/02/1982;Guerra Irã-Iraque
13/02/1982;Guerra Irã-Iraque
14/02/1982;Guerra Irã-Iraque
15/02/1982;Guerra Irã-Iraque
16/02/1982;Guerra Irã-Iraque
17/02/1982;Guerra Irã-Iraque
18/02/1982;Guerra Irã-Iraque
19/02/1982;Guerra Irã-Iraque
20/02/1982;Guerra Irã-Iraque
21/02/1982;Guerra Irã-Iraque
22/02/1982;Guerra Irã-Iraque
23/02/1982;Guerra Irã-Iraque
24/02/1982;Guerra Irã-Iraque
25/02/1982;Guerra Irã-Iraque
26/02/1982;Guerra Irã-Iraque
27/02/1982;Guerra Irã-Iraque
28/02/1982;Guerra Irã-Iraque
01/03/1982;Guerra Irã-Iraque
02/03/1982;Guerra Irã-Iraque
03/03/1982;Guerra Irã-Iraque
04/03/1982;Guerra Irã-Iraque
05/03/1982;Guerra Irã-Iraque
06/03/1982;Guerra Irã-Iraque
07/03/1982;Guerra Irã-Iraque
08/03/1982;Guerra Irã-Iraque
09/03/1982;Guerra Irã-Iraque
10/03/1982;Guerra Irã-Iraque
11/03/1982;Guerra Irã-Iraque
12/03/1982;Guerra Irã-Iraque
13/03/1982;Guerra Irã-Iraque
14/03/1982;Guerra Irã-Iraque
15/03/1982;Guerra Irã-Iraque
16/03/1982;Guerra Irã-Iraque
17/03/1982;Guerra Irã-Iraque
18/03/1982;Guerra Irã-Iraque
19/03/1982;Guerra Irã-Iraque
20/03/1982;Guerra Irã-Iraque
21/03/1982;Guerra Irã-Iraque
22/03/1982;Guerra Irã-Iraque
23/03/1982;Guerra Irã-Iraque
24/03/1982;Guerra Irã-Iraque
25/03/1982;Guerra Irã-Iraque
26/03/1982;Guerra Irã-Iraque
27/03/1982;Guerra Irã-Iraque
28/03/1982;Guerra Irã-Iraque
29/03/1982;Guerra Irã-Iraque
30/03/1982;Guerra Irã-Iraque
31/03/1982;Guerra Irã-Iraque
01/04/1982;Guerra Irã-Iraque
02/04/1982;Guerra Irã-Iraque
03/04/1982;Guerra Irã-Iraque
04/04/1982;Guerra Irã-Iraque
05/04/1982;Guerra Irã-Iraque
06/04/1982;Guerra Irã-Iraque
07/04/1982;Guerra Irã-Iraque
08/04/1982;Guerra Irã-Iraque
09/04/1982;Guerra Irã-Iraque
10/04/1982;Guerra Irã-Iraque
11/04/1982;Guerra Irã-Iraque
12/04/1982;Guerra Irã-Iraque
13/04/1982;Guerra Irã-Iraque
14/04/1982;Guerra Irã-Iraque
15/04/1982;Guerra Irã-Iraque
16/04/1982;Guerra Irã-Iraque
17/04/1982;Guerra Irã-Iraque
18/04/1982;Guerra Irã-Iraque
19/04/1982;Guerra Irã-Iraque
20/04/1982;Guerra Irã-Iraque
21/04/1982;Guerra Irã-Iraque
22/04/1982;Guerra Irã-Iraque
23/04/1982;Guerra Irã-Iraque
24/04/1982;Guerra Irã-Iraque
25/04/1982;Guerra Irã-Iraque
26/04/1982;Guerra Irã-Iraque
27/04/1982;Guerra Irã-Iraque
28/04/1982;Guerra Irã-Iraque
29/04/1982;Guerra Irã-Iraque
30/04/1982;Guerra Irã-Iraque
01/05/1982;Guerra Irã-Iraque
02/05/1982;Guerra Irã-Iraque
03/05/1982;Guerra Irã-Iraque
04/05/1982;Guerra Irã-Iraque
05/05/1982;Guerra Irã-Iraque
06/05/1982;Guerra Irã-Iraque
07/05/1982;Guerra Irã-Iraque
08/05/1982;Guerra Irã-Iraque
09/05/1982;Guerra Irã-Iraque
10/05/1982;Guerra Irã-Iraque
11/05/1982;Guerra Irã-Iraque
12/05/1982;Guerra Irã-Iraque
13/05/1982;Guerra Irã-Iraque
14/05/1982;Guerra Irã-Iraque
15/05/1982;Guerra Irã-Iraque
16/05/1982;Guerra Irã-Iraque
17/05/1982;Guerra Irã-Iraque
18/05/1982;Guerra Irã-Iraque
19/05/1982;Guerra Irã-Iraque
20/05/1982;Guerra Irã-Iraque
21/05/1982;Guerra Irã-Iraque
22/05/1982;Guerra Irã-Iraque
23/05/1982;Guerra Irã-Iraque
24/05/1982;Guerra Irã-Iraque
25/05/1982;Guerra Irã-Iraque
26/05/1982;Guerra Irã-Iraque
27/05/1982;Guerra Irã-Iraque
28/05/1982;Guerra Irã-Iraque
29/05/1982;Guerra Irã-Iraque
30/05/1982;Guerra Irã-Iraque
31/05/1982;Guerra Irã-Iraque
01/06/1982;Guerra Irã-Iraque
02/06/1982;Guerra Irã-Iraque
03/06/1982;Guerra Irã-Iraque
04/06/1982;Guerra Irã-Iraque
05/06/1982;Guerra Irã-Iraque
06/06/1982;Guerra Irã-Iraque
07/06/1982;Guerra Irã-Iraque
08/06/1982;Guerra Irã-Iraque
09/06/1982;Guerra Irã-Iraque
10/06/1982;Guerra Irã-Iraque
11/06/1982;Guerra Irã-Iraque
12/06/1982;Guerra Irã-Iraque
13/06/1982;Guerra Irã-Iraque
14/06/1982;Guerra Irã-Iraque
15/06/1982;Guerra Irã-Iraque
16/06/1982;Guerra Irã-Iraque
17/06/1982;Guerra Irã-Iraque
18/06/1982;Guerra Irã-Iraque
19/06/1982;Guerra Irã-Iraque
20/06/1982;Guerra Irã-Iraque
21/06/1982;Guerra Irã-Iraque
22/06/1982;Guerra Irã-Iraque
23/06/1982;Guerra Irã-Iraque
24/06/1982;Guerra Irã-Iraque
25/06/1982;Guerra Irã-Iraque
26/06/1982;Guerra Irã-Iraque
27/06/1982;Guerra Irã-Iraque
28/06/1982;Guerra Irã-Iraque
29/06/1982;Guerra Irã-Iraque
30/06/1982;Guerra Irã-Iraque
01/07/1982;Guerra Irã-Iraque
02/07/1982;Guerra Irã-Iraque
03/07/1982;Guerra Irã-Iraque
04/07/1982;Guerra Irã-Iraque
05/07/1982;Guerra Irã-Iraque
